Espece,Diametre minimum du chapeau,Diametre maximum du chapeau,Couleur du chapeau,Forme du chapeau,Surface du chapeau,Type de marge,Couleur de la marge,Dessous du chapeau,Couleur au dessous du chapeau,Oxydation du chapeau,Couleur de l oxydation du chapeau,Mode d insertion du dessous du chapeau avec le pied,Espace entre les lamelles,Type de lamelles,Couleur du pied,Pïed creux ou plein,Forme du pied,Longueur du pied,Surface su pied,Position du pied par rapport au chapeau,Presence d un anneau,Orientation de l anneau,Mobilite de l anneau,Couleur de l anneau,Poussee en touffe,Couleur de la base du pied,Couleur de la chair,Oxydation de la chair,Couleur de l oxydation,Fermete de la chair,Odeur,Latex,Couleur du latex,Mois de poussees le plus tot,Mois de poussees le plus tard,Milieu,Pousse sur du bois ou non,Nom vernaculaire,Comestibilite,Commentaires,Synonymes,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Acetabula vulgaris,0,0,,,,,,,,absence d oxydation,,,,,,pied plein,,,,centrale,non,,,,non,,,non,,,,non,,janvier ; janvier,decembre ; decembre,,non,Pezize vulgaire,comestible,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Agaricus abruptibulbus,8,12,blanc,,ecailleuse ; mechuleuse ; squameuse,,,lamelles,gris ; rouge ; brun ; noir,absence d oxydation,,libres,serrees,normal ;,blanc,pied creux,cylindrique ; tubulaire ; mince ; elance ; grele ; bulbeux ; volve,,,centrale,oui,descendant,,blanc ;,non,,blanc,oui,jaune,,anis ; agreable,non,,juin ; janvier,octobre ; decembre,coniferes,non,Psalliote a pied bulbeux,comestible,Peut etre confondu avec Agaricus silvicola (psalliote des bois),Agaricus essetei,;;;;;;;;;;;;;;;;;;;;;;;;
Amanita muscaria,5,15,rouge ; orange,,brilante ; ecailleuse ; mechuleuse ; squameuse ; ecailleuse ; mechuleuse ; squameuse ;,striee,,lamelles,blanc,absence d oxydation,,libres,serrees,normal ;,blanc,pied plein,cylindrique ; tubulaire ; bulbeux ; volve ;,,floconneuse ;,centrale,oui,,,blanc ;,non,blanc,blanc,non,,,,non,,juillet ; janvier,novembre ; decembre,feuillus ; coniferes,non,Amanite tue mouches ;" Fausse oronge,toxique,""Contrairement a Amanita caesara (amanite des Cesars), ses lames et son pied sont blancs et non jaunes"",,";;;;;;;;;;;;;;;;;;;;;
Amanita ovoidea,0,0,,globuleux ; convexe ; etale,,,,lamelles,blanc,absence d oxydation,,,,normal ;,,pied plein,bulbeux ; volve,,,centrale,oui,,,,non,,,non,,,,non,,janvier ; janvier,decembre ; decembre,coniferes,non,Amanite ovoide,mauvais comestible,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Amanita pantherina,5,10,brun,,ecailleuse ; mechuleuse ; squameuse ; ecailleuse ; mechuleuse ; squameuse ; brilante ;,,,lamelles,blanc,absence d oxydation,,libres,serrees,normal ;,blanc,pied plein puis creux,cylindrique ; tubulaire ; aminci a la base ; aminci au sommet ; attenue ; base pointue ; renfle ; fuseau ; fusiforme ; bulbeux ; volve,,,centrale,oui,descendant,,blanc ;,non,blanc,blanc,non,,molle,faible ; desagreable,non,,juillet ; janvier,octobre ; decembre,feuillus ; coniferes,non,Amanite panthere ; Fausse golmotte,toxique,Sa collerette n'est pas striee,,;;;;;;;;;;;;;;;;
Amanita phalloides,4,12,vert,globuleux ; convexe ; etale,fibrileuse ; mate ; brilante ;,lisse ; droite ; reguliere,,lamelles,blanc,absence d oxydation,,libres,serrees,normal ;,blanc ; vert ;,pied plein,cylindrique ; tubulaire ; aminci a la base ; aminci au sommet ; attenue ; base pointue ; renfle ; fuseau ; fusiforme ; bulbeux ; volve,,marbre ; reseau ; reticule ;,centrale,oui,descendant,,blanc ;,non,blanc,blanc,non,,,miel ; desagreable,non,,juillet ; janvier,octobre ; decembre,feuillus ; coniferes,non,Amanite phalloide,mortel,Sa volve la distingue de Russula heterophylla (russule vert de gris),,;;;;;;;;;;;;
Amanita porphyria,4,8,gris ; violet ; brun ; noir,hemispherique ; convexe ; etale,verrues,,,lamelles,blanc,absence d oxydation,,libres,serrees,normal ;,blanc ; gris ;,pied plein puis creux,cylindrique ; tubulaire ; aminci a la base ; aminci au sommet ; attenue ; base pointue ; renfle ; fuseau ; fusiforme ; bulbeux ; volve,,,centrale,oui,descendant,mobile,,non,,blanc,non,,,patate crue ;,non,,juillet ; janvier,octobre ; decembre,coniferes,non,Amanite porphyre,toxique,Seule sa couleur de chapeau brun noirâtre distingue Amanita porphyria (amanite porphyre) de Amanita citrina (amanite citrine),,;;;;;;;;;;;;;;;;;;;
Amanita rubescens,5,15,brun ; rose ; rouge ;,convexe ; plan,floconneuse,lisse ; droite ; reguliere,,lamelles,blanc,absence d oxydation,,libres,serrees,normal ;,blanc ; rose ; rouge,pied plein,cylindrique ; tubulaire ; aminci a la base ; aminci au sommet ; attenue ; base pointue ; renfle ; fuseau ; fusiforme ; bulbeux ; volve,,ecailleuse ; mechuleuse ; squameuse ;,centrale,oui,,,blanc ;,non,,blanc,oui,rouge,,faible ;,non,,juin ; janvier,octobre ; decembre,feuillus ; coniferes,non,Amanite rougissante ; Amanite rougeatre,bon comestible,Sa chair rougit.,,;;;;;;;;;;;;
Amanita solitaria,0,0,,hemispherique ; convexe ; plan,,,,lamelles,blanc,absence d oxydation,,,,normal ;,,pied plein,bulbeux ; volve,,,centrale,non,,,,non,,,non,,,,non,,janvier ; janvier,decembre ; decembre,,non,Amanite solitaire,comestible,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Amanita strobiliformis,5,20,blanc,hemispherique ; convexe ; plan,brilante ; floconneuse,,,lamelles,blanc,absence d oxydation,,libres,serrees,normal ;,blanc,pied plein,cylindrique ; tubulaire ; bulbeux ; volve ;,,ecailleuse ; mechuleuse ; squameuse ;,centrale,oui,,mobile,,non,blanc,blanc,non,,,betterave ; moisi,non,,juillet ; janvier,octobre ; decembre,feuillus ; coniferes,non,Amanite solitaire,comestible,Sa base de pied est blanche,,;;;;;;;;;;;;;;;;;;;;;;;;;
Amanita unbrinolutea,0,0,,hemispherique ; convexe ; plan,,,,lamelles,,absence d oxydation,,,,normal ;,,pied plein,,,,centrale,non,,,,non,,,non,,,,non,,janvier ; janvier,decembre ; decembre,,non,Amanite brun jaune,comestible,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Amanita vaginata,3,8,gris ; brun,,lisse ; glabre ; brilante,striee,,lamelles,blanc,absence d oxydation,,libres,serrees,normal ;,blanc,pied plein puis creux,cylindrique ; tubulaire ; aminci a la base ; aminci au sommet ; attenue ; base pointue ; renfle ; fuseau ; fusiforme ; bulbeux ; volve,,lisse ; glabre ; seche ;,centrale,non,,,,non,blanc,blanc,non,,,faible ;,non,,juin ; janvier,septembre ; decembre,feuillus ; coniferes,non,Amanite a etui ; Amanite engainee ; Amanite vaginee ; Coucoumelle,comestible,,,;;;;;;;;;;;;;;;;
