id_champi;nom
784;Mycenastrum corium
785;Myriostoma coliforme
786;Naucoria bohemica
787;Naucoria escharioides
788;Naucoria scolecina
789;Naucoria subconspersa
790;Nectria cinnabarina
791;Neolentinus lepidus
792;Nidularia pulvinata
793;Oligoporus caesius
794;Ombrophila pura
795;Omphalina pyxidata
796;Omphalotus olearius
797;Onnia tomentosa
798;Onygena corvina
799;Orbilia xanthostigma
800;Osmoporus odoratus
801;Ossicaulis lignatilis
802;Ossicaulis odora
803;Ossicaulis phyllophila
804;Ossicaulis pruinosa
805;Ossicaulis sinopica
806;Osteina obducta
807;Otidea alutacea
808;Otidea concinna
809;Otidea onotica
810;Oudemansiella mucida
811;Pachyella babingtonii
812;Panaeolus foenisecii
813;Panaeolus papilionaceus
814;Panaeolus rickenii
815;Panaeolus semiovatus
816;Panellus serotinus
817;Panellus stipticus
818;Panellus stypticus
819;Panus conchatus
820;Panus lepideus
821;Panus suavissimus
822;Panus tigrinus
823;Panus torulosus
824;Paxillus atrotomentosus
825;Paxillus filamentosus
826;Paxillus involutus
827;Paxillus panuoides
828;Paxina acetabulum
829;Peckiella viridis
830;Peniophora quercina
831;Peziza aurantia
832;Peziza coccinea
833;Peziza echinospora
834;Peziza phlebospora
835;Peziza pseudoviolacea
836;Peziza saniosa
837;Peziza subisabellina
838;Peziza succosa
839;Peziza vesiculosa
840;Phaeocollybia festiva
841;Phaeocollybia jennyae
842;Phaeocollybia lugubris
843;Phaeolepiota aurea
844;Phaeolepiota aurivella
845;Phaeolepiota carbonaria
846;Phaeolepiota destruens
847;Phaeolepiota flammans
848;Phaeolepiota gummosa
849;Phaeolepiota highlandensis
850;Phaeolepiota jahnii
851;Phaeolepiota limonella
852;Phaeolepiota lucifera
853;Phaeolepiota mutabilis
854;Phaeolus schweinitzii
855;Phaeomarasmius erinaceus
856;Phallogaster saccatus
857;Phallus duplicatus
858;Phallus hadrianii
859;Phallus impudicus
860;Phellinus contiguus
861;Phellinus ferruginosus
862;Phellinus igniarius
863;Phellinus pini
864;Phellinus pomaceus
865;Phellinus punctatus
866;Phellinus ribis
867;Phellinus robustus
868;Phellinus torulosus
869;Phellodon niger
870;Phlebia mellea
871;Phlebia merismoides
872;Phlebia radiata
873;Phlebia tremellosa
874;Phlegmacium elegantior
875;Phleogena faginea
876;Pholiota albocrenulata
877;Pholiota alnicola
878;Pholiota aurea
879;Pholiota aurivella
880;Pholiota caerulea
881;Pholiota cerifera
882;Pholiota coronilla
883;Pholiota flammans
884;Pholiota gummosa
885;Pholiota hornemannii
886;Pholiota inuncta
887;Pholiota lenta
888;Pholiota melanosperma
889;Pholiota mutabilis
890;Pholiota rugosoannulata
891;Pholiota semiglobata
892;Pholiota squarrosa
893;Phylloporus rhodoxanthus
894;Phylloporus pelletieri
895;Phyllotopsis nidulans
896;Phyllotus porrigens
897;Piptoporus betulinus
898;Pisolithus arrhizus
899;Pleurocybella porrigens
900;Pleurotus calypatrus
901;Pleurotus cornucopiae
902;Pleurotus dryinus
903;Pleurotus eryngii
904;Pleurotus ostreatus
905;Pleurotus pulmonarius
906;Plicaturopsis crispa
907;Pluteus atromarginatus
908;Pluteus aurantiorugosus
909;Pluteus cervinus
910;Pluteus cinereofuscus
911;Pluteus depauperatus
912;Pluteus leoninus
913;Pluteus pellitus
914;Pluteus petasatus
915;Pluteus phlebophorus
916;Pluteus podospileus
917;Pluteus romellii
918;Pluteus salicinus
919;Pluteus villosus
920;Polyporus alveolaris
921;Polyporus anisoporus
922;Polyporus arcularius
923;Polyporus badius
924;Polyporus brumalis
925;Polyporus ciliatus
926;Polyporus mori
927;Polyporus picipes
928;Polyporus squamosus
929;Polyporus sulfureus
930;Polyporus umbellatus
931;Porphyrellus porphyrosporus
932;Postia ptychogaster
933;Postia stiptica
934;Postia stipticus
935;Psathyrella bifrons
936;Psathyrella candolleana
937;Psathyrella conopilus
938;Psathyrella corrugis
939;Psathyrella hydrophila
940;Psathyrella lacrymabunda
941;Psathyrella mutipedata
942;Psathyrella pennata
943;Psathyrella piluliformis
944;Psathyrella prona
945;Psathyrella spadiceogrisea
946;Psathyrella velutina
947;Pseudoclitocybe beschidica
948;Pseudoclitocybe cyathiformis
949;Pseudocraterellus sinuosus
950;Pseudohydnum gelatinosum
951;Pseudomerulius aureus
952;Pseudoplectania nigrella
953;Psilocybe bohemica
954;Psilocybe coprophila
955;Psilocybe montana
956;Psilocybe semilanceata
957;Pterula multifida
958;Ptychoverpa bohemica
959;Pulcherricium caeruleum
960;Pulveroboletus hemichrysus
961;Pulveroboletus lignicola
962;Pycnoporellus alboluteus
963;Pycnoporus cinnabarinus
964;Pyronema confluens
965;Pyronema domesticum
966;Pyronema omphalodes
967;Ramaria aurea
968;Ramaria botrytis
969;Ramaria eumorpha
970;Ramaria flaccida
971;Ramaria flava
972;Ramaria flavescens
973;Ramaria formosa
974;Ramaria largentii
975;Ramaria obtusissima
976;Ramaria pallida
977;Ramaria stricta
978;Resupinatus trichotis
979;Rhizina undulata
980;Rhizopogon roseolus
981;Rhodocollybia butyracea
982;Rhodocollybia confluens
983;Rhodocollybia filamentosa
984;Rhodocollybia maculata
985;Rhodocollybia peronata
986;Rhodocybe gemina
987;Rhodocybe truncata
988;Rhodotus palmatus
989;Rhytisma acerinum
990;Rickenella fibula
991;Ripartites tricholoma
992;Rozites caperata
993;Rozites caperatus
994;Rugosomyces carneus
995;Russula adusta
996;Russula aeruginea
997;Russula albonigra
998;Russula alnetorum
999;Russula alutacea
1000;Russula amara
1001;Russule amethystina
1002;Russula amoena
1003;Russula amoenicolor
1004;Russula amoenolens
1005;Russula anthracina
1006;Russula artropupurea
1007;Russula atropurpurea
1008;Russula atrorubens
1009;Russula aurata
1010;Russula aurea
1011;Russula betularum
1012;Russula brunneoviolacea
1013;Russula caerulea
1014;Russula carpini
1015;Russula cessans
1016;Russula chamaeleontina
1017;Russula chloroides
1018;Russula cicatricata
1019;Russula claroflava
1020;Russula cyanoxantha
1021;Russula decolorans
1022;Russula delica
1023;Russula densifolia
1024;Russula emetica
1025;Russula faginea
1026;Russula fellea
1027;Russula foetens
1028;Russula fragilis
1029;Russula graveolens
1030;Russula grisea
1031;Russula helodes
1032;Russula heterophylla
1033;Russula ionochlora
1034;Russule integra
1035;Russula laurocerasi
1036;Russula lepida
1037;Russula luteotacta
1038;Russula mairei
1039;Russula mustelina
1040;Russula nigricans
1041;Russula nitida
1042;Russula ochroleucea
1043;Russula odorata
1044;Russula olivacea
1045;Russula paludosa
1046;Russula parazurea
1047;Russula pectinata
1048;Russula pectinatoides
1049;Russula polychroma
1050;Russula puellaris
1051;Russula pumila
1052;Russula queletii
1053;Russula rhodopoda
1054;Russula risigallina
1055;Russula rosea
1056;Russula sanguinaria
1057;Russula sanguinea
1058;Russula sardonia
1059;Russula short-cut
